site_year	rel.abund.cleaners	rel.abund.visitors	rel.abund.residents	prob.Vis.Leav	market_binomial
CB 2010	0.116731517380278	0.0702992005082416	0.812969281917403	0.04255362638	0
CB 2010	0.116731517380278	0.0702992005082416	0.812969281917403	0.04255362638	1
CB 2010	0.116731517380278	0.0702992005082416	0.812969281917403	0.04255362638	0
CB 2010	0.116731517380278	0.0702992005082416	0.812969281917403	0.04255362638	0
CB 2010	0.116731517380278	0.0702992005082416	0.812969281917403	0.04255362638	0
CB 2010	0.116731517380278	0.0702992005082416	0.812969281917403	0.04255362638	0
CB 2010	0.116731517380278	0.0702992005082416	0.812969281917403	0.04255362638	0
CB 2010	0.116731517380278	0.0702992005082416	0.812969281917403	0.04255362638	0
CB 2010	0.116731517380278	0.0702992005082416	0.812969281917403	0.04255362638	0
CB 2010	0.116731517380278	0.0702992005082416	0.812969281917403	0.04255362638	0
CB 2017	0.148809524098285	0.121356169547746	0.729834306404887	0.2021344875	0
CB 2017	0.148809524098285	0.121356169547746	0.729834306404887	0.2021344875	0
CB 2017	0.148809524098285	0.121356169547746	0.729834306404887	0.2021344875	0
CB 2017	0.148809524098285	0.121356169547746	0.729834306404887	0.2021344875	0
CB 2017	0.148809524098285	0.121356169547746	0.729834306404887	0.2021344875	0
CB 2017	0.148809524098285	0.121356169547746	0.729834306404887	0.2021344875	0
CB 2017	0.148809524098285	0.121356169547746	0.729834306404887	0.2021344875	0
CB 2017	0.148809524098285	0.121356169547746	0.729834306404887	0.2021344875	0
CB 2017	0.148809524098285	0.121356169547746	0.729834306404887	0.2021344875	0
CB 2017	0.148809524098285	0.121356169547746	0.729834306404887	0.2021344875	0
CB 2018	0.0349446708605982	0.0703393097217316	0.894716019696214	0.06469668538	1
CB 2018	0.0349446708605982	0.0703393097217316	0.894716019696214	0.06469668538	0
CB 2018	0.0349446708605982	0.0703393097217316	0.894716019696214	0.06469668538	0
CB 2018	0.0349446708605982	0.0703393097217316	0.894716019696214	0.06469668538	0
CB 2018	0.0349446708605982	0.0703393097217316	0.894716019696214	0.06469668538	0
CB 2018	0.0349446708605982	0.0703393097217316	0.894716019696214	0.06469668538	0
CB 2018	0.0349446708605982	0.0703393097217316	0.894716019696214	0.06469668538	0
CB 2018	0.0349446708605982	0.0703393097217316	0.894716019696214	0.06469668538	0
CB 2018	0.0349446708605982	0.0703393097217316	0.894716019696214	0.06469668538	0
CB 2018	0.0349446708605982	0.0703393097217316	0.894716019696214	0.06469668538	0
HS 2017	0.524534687202281	0.13565227353876	0.339813039381783	0.1755231251	0
HS 2017	0.524534687202281	0.13565227353876	0.339813039381783	0.1755231251	0
HS 2017	0.524534687202281	0.13565227353876	0.339813039381783	0.1755231251	0
HS 2017	0.524534687202281	0.13565227353876	0.339813039381783	0.1755231251	0
HS 2017	0.524534687202281	0.13565227353876	0.339813039381783	0.1755231251	1
HS 2017	0.524534687202281	0.13565227353876	0.339813039381783	0.1755231251	0
HS 2017	0.524534687202281	0.13565227353876	0.339813039381783	0.1755231251	0
HS 2017	0.524534687202281	0.13565227353876	0.339813039381783	0.1755231251	1
HS 2017	0.524534687202281	0.13565227353876	0.339813039381783	0.1755231251	0
HS 2017	0.524534687202281	0.13565227353876	0.339813039381783	0.1755231251	0
MC 2010	0.343586387386033	0.216414418458627	0.43999919415534	0.2126077771	1
MC 2010	0.343586387386033	0.216414418458627	0.43999919415534	0.2126077771	1
MC 2010	0.343586387386033	0.216414418458627	0.43999919415534	0.2126077771	1
MC 2010	0.343586387386033	0.216414418458627	0.43999919415534	0.2126077771	1
MC 2010	0.343586387386033	0.216414418458627	0.43999919415534	0.2126077771	1
MC 2010	0.343586387386033	0.216414418458627	0.43999919415534	0.2126077771	1
MC 2010	0.343586387386033	0.216414418458627	0.43999919415534	0.2126077771	1
MC 2010	0.343586387386033	0.216414418458627	0.43999919415534	0.2126077771	0
MC 2010	0.343586387386033	0.216414418458627	0.43999919415534	0.2126077771	0
MC 2010	0.343586387386033	0.216414418458627	0.43999919415534	0.2126077771	0
MC 2016	0.284938941837623	0.355571457664608	0.359489600497768	0.04088754947	0
MC 2016	0.284938941837623	0.355571457664608	0.359489600497768	0.04088754947	0
MC 2016	0.284938941837623	0.355571457664608	0.359489600497768	0.04088754947	0
MC 2016	0.284938941837623	0.355571457664608	0.359489600497768	0.04088754947	0
MC 2016	0.284938941837623	0.355571457664608	0.359489600497768	0.04088754947	0
MC 2016	0.284938941837623	0.355571457664608	0.359489600497768	0.04088754947	0
MC 2016	0.284938941837623	0.355571457664608	0.359489600497768	0.04088754947	0
MC 2016	0.284938941837623	0.355571457664608	0.359489600497768	0.04088754947	0
MC 2016	0.284938941837623	0.355571457664608	0.359489600497768	0.04088754947	0
MC 2016	0.284938941837623	0.355571457664608	0.359489600497768	0.04088754947	1
MC 2017	0.507614213361591	0.242379234042971	0.250006552595437	0.09422209917	1
MC 2017	0.507614213361591	0.242379234042971	0.250006552595437	0.09422209917	0
MC 2017	0.507614213361591	0.242379234042971	0.250006552595437	0.09422209917	0
MC 2017	0.507614213361591	0.242379234042971	0.250006552595437	0.09422209917	0
MC 2017	0.507614213361591	0.242379234042971	0.250006552595437	0.09422209917	0
MC 2017	0.507614213361591	0.242379234042971	0.250006552595437	0.09422209917	0
MC 2017	0.507614213361591	0.242379234042971	0.250006552595437	0.09422209917	0
MC 2017	0.507614213361591	0.242379234042971	0.250006552595437	0.09422209917	0
MC 2017	0.507614213361591	0.242379234042971	0.250006552595437	0.09422209917	0
MC 2017	0.507614213361591	0.242379234042971	0.250006552595437	0.09422209917	0
MC 2018	0.537190082884537	0.164222873859136	0.298587043353693	0.06739899363	0
MC 2018	0.537190082884537	0.164222873859136	0.298587043353693	0.06739899363	0
MC 2018	0.537190082884537	0.164222873859136	0.298587043353693	0.06739899363	0
MC 2018	0.537190082884537	0.164222873859136	0.298587043353693	0.06739899363	1
MC 2018	0.537190082884537	0.164222873859136	0.298587043353693	0.06739899363	0
MC 2018	0.537190082884537	0.164222873859136	0.298587043353693	0.06739899363	0
MC 2018	0.537190082884537	0.164222873859136	0.298587043353693	0.06739899363	1
MC 2018	0.537190082884537	0.164222873859136	0.298587043353693	0.06739899363	0
MC 2018	0.537190082884537	0.164222873859136	0.298587043353693	0.06739899363	0
MC 2018	0.537190082884537	0.164222873859136	0.298587043353693	0.06739899363	0
NHS 2016	0.104685942221901	0.141082505317439	0.75423155246066	0.04298967966	0
NHS 2016	0.104685942221901	0.141082505317439	0.75423155246066	0.04298967966	0
NHS 2016	0.104685942221901	0.141082505317439	0.75423155246066	0.04298967966	0
NHS 2016	0.104685942221901	0.141082505317439	0.75423155246066	0.04298967966	0
NHS 2016	0.104685942221901	0.141082505317439	0.75423155246066	0.04298967966	0
NHS 2016	0.104685942221901	0.141082505317439	0.75423155246066	0.04298967966	0
NHS 2016	0.104685942221901	0.141082505317439	0.75423155246066	0.04298967966	1
NHS 2016	0.104685942221901	0.141082505317439	0.75423155246066	0.04298967966	0
NHS 2016	0.104685942221901	0.141082505317439	0.75423155246066	0.04298967966	1
NHS 2016	0.104685942221901	0.141082505317439	0.75423155246066	0.04298967966	1
NHS 2017	0.42481456505648	0.124715309741519	0.450470125202001	0.3519282894	1
NHS 2017	0.42481456505648	0.124715309741519	0.450470125202001	0.3519282894	1
NHS 2017	0.42481456505648	0.124715309741519	0.450470125202001	0.3519282894	0
NHS 2017	0.42481456505648	0.124715309741519	0.450470125202001	0.3519282894	1
NHS 2017	0.42481456505648	0.124715309741519	0.450470125202001	0.3519282894	1
